ID,Class,Order,Family,Genus,Species,Genus_and_species_,Genus_and_species,rmouillot,rnickwio,rmorais,rbrandl,rhalpern,ryeager,rnewman,rrls,randraldi,rwyatt,rhonorio,rclark,rharvey,rilarri,rmendes,rparrish,rpastro,rrodriguez,ralvarez,rbertoncini,rjohnson,rkattan,rleal,rpaula,rpereira,rramos,rrosa,rwilliams,runsworth,rsiquiera
1,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Alectis,indicus,Alectis_indicus,Alectis indicus,P,NA,P,NA,NA,NA,NA,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Actinopterygii (ray-finned fishes),Perciformes,Gobiidae,Wheelerigobius,maltzani,Wheelerigobius_maltzani,Wheelerigobius maltzani,I,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,O
3,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Oligoplites,saurus,Oligoplites_saurus,Oligoplites saurus,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Pseudocaranx,dentex,Pseudocaranx_dentex,Pseudocaranx dentex,P,NA,P,NA,PK,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Actinopterygii (ray-finned fishes),Perciformes,Eleotridae,Ophiocara,porocephala,Ophiocara_porocephala,Ophiocara porocephala,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Selene,vomer,Selene_vomer,Selene vomer,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Seriola,dumerili,Seriola_dumerili,Seriola dumerili,P,NA,P,NA,P,P,NA,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Seriola,fasciata,Seriola_fasciata,Seriola fasciata,P,NA,NA,NA,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Seriola,rivoliana,Seriola_rivoliana,Seriola rivoliana,P,NA,NA,NA,P,NA,P,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Seriola,zonata,Seriola_zonata,Seriola zonata,P,NA,NA,NA,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Trachinotus,falcatus,Trachinotus_falcatus,Trachinotus falcatus,I,NA,I,NA,I,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Actinopterygii (ray-finned fishes),Perciformes,Cheilodactylidae,Nemadactylus,macropterus,Nemadactylus_macropterus,Nemadactylus macropterus,I,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I
13,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Trachinotus,goodei,Trachinotus_goodei,Trachinotus goodei,I,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,Actinopterygii (ray-finned fishes),Anguilliformes,Muraenidae,Enchelycore,lichenosa,Enchelycore_lichenosa,Enchelycore lichenosa,P,NA,NA,NA,NA,NA,NA,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,Actinopterygii (ray-finned fishes),Anguilliformes,Muraenidae,Gymnothorax,chlamydatus,Gymnothorax_chlamydatus,Gymnothorax chlamydatus,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,Actinopterygii (ray-finned fishes),Anguilliformes,Muraenidae,Gymnothorax,kidako,Gymnothorax_kidako,Gymnothorax kidako,P,NA,NA,NA,NA,NA,NA,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,Actinopterygii (ray-finned fishes),Anguilliformes,Muraenidae,Gymnothorax,neglectus,Gymnothorax_neglectus,Gymnothorax neglectus,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,Actinopterygii (ray-finned fishes),Anguilliformes,Muraenidae,Gymnothorax,prasinus,Gymnothorax_prasinus,Gymnothorax prasinus,P,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,Actinopterygii (ray-finned fishes),Anguilliformes,Muraenidae,Gymnothorax,reevesii,Gymnothorax_reevesii,Gymnothorax reevesii,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Actinopterygii (ray-finned fishes),Anguilliformes,Muraenidae,Gymnothorax,reticularis,Gymnothorax_reticularis,Gymnothorax reticularis,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,Actinopterygii (ray-finned fishes),Anguilliformes,Congridae,Conger,triporiceps,Conger_triporiceps,Conger triporiceps,P,NA,NA,NA,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,Actinopterygii (ray-finned fishes),Pleuronectiformes,Cynoglossidae,Symphurus,diomedeanus,Symphurus_diomedeanus,Symphurus diomedeanus,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,Actinopterygii (ray-finned fishes),Scorpaeniformes,Scorpaenidae,Scorpaena,maderensis,Scorpaena_maderensis,Scorpaena maderensis,P,NA,P,NA,I,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,Actinopterygii (ray-finned fishes),Perciformes,Chaetodontidae,Chaetodon,robustus,Chaetodon_robustus,Chaetodon robustus,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I
25,Actinopterygii (ray-finned fishes),Perciformes,Haemulidae,Parapristipoma,humile,Parapristipoma_humile,Parapristipoma humile,I,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I
26,Actinopterygii (ray-finned fishes),Perciformes,Sciaenidae,Umbrina,steindachneri,Umbrina_steindachneri,Umbrina steindachneri,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,Actinopterygii (ray-finned fishes),Perciformes,Sphyraenidae,Sphyraena,viridensis,Sphyraena_viridensis,Sphyraena viridensis,P,NA,P,NA,NA,NA,NA,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,Actinopterygii (ray-finned fishes),Tetraodontiformes,Diodontidae,Chilomycterus,reticulatus,Chilomycterus_reticulatus,Chilomycterus reticulatus,I,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I
29,Actinopterygii (ray-finned fishes),Scorpaeniformes,Dactylopteridae,Dactylopterus,volitans,Dactylopterus_volitans,Dactylopterus volitans,I,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,Actinopterygii (ray-finned fishes),Anguilliformes,Muraenidae,Pseudechidna,brummeri,Pseudechidna_brummeri,Pseudechidna brummeri,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,Actinopterygii (ray-finned fishes),Anguilliformes,Muraenidae,Uropterygius,micropterus,Uropterygius_micropterus,Uropterygius micropterus,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,Actinopterygii (ray-finned fishes),Tetraodontiformes,Diodontidae,Diodon,hystrix,Diodon_hystrix,Diodon hystrix,I,NA,NA,NA,I,I,I,I,NA,NA,I,I,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I
33,Actinopterygii (ray-finned fishes),Siluriformes,Ariidae,Netuma,thalassina,Netuma_thalassina,Netuma thalassina,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Neopomacentrus,anabatoides,Neopomacentrus_anabatoides,Neopomacentrus anabatoides,PK,NA,NA,NA,NA,NA,NA,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PK
35,Actinopterygii (ray-finned fishes),Syngnathiformes,Syngnathidae,Halicampus,macrorhynchus,Halicampus_macrorhynchus,Halicampus macrorhynchus,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I
36,Actinopterygii (ray-finned fishes),Ophidiiformes,Carapidae,Encheliophis,vermicularis,Encheliophis_vermicularis,Encheliophis vermicularis,O,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Neopomacentrus,azysron,Neopomacentrus_azysron,Neopomacentrus azysron,PK,NA,NA,PK,NA,NA,NA,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PK
38,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Neopomacentrus,metallicus,Neopomacentrus_metallicus,Neopomacentrus metallicus,PK,NA,NA,NA,NA,PK,NA,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PK
39,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Neoglyphidodon,bonang,Neoglyphidodon_bonang,Neoglyphidodon bonang,O,NA,NA,NA,NA,NA,NA,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,O
40,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Neoglyphidodon,carlsoni,Neoglyphidodon_carlsoni,Neoglyphidodon carlsoni,O,NA,NA,NA,NA,NA,NA,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,O
41,Actinopterygii (ray-finned fishes),Scorpaeniformes,Tetrarogidae,Ablabys,taenianotus,Ablabys_taenianotus,Ablabys taenianotus,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Neoglyphidodon,polyacanthus,Neoglyphidodon_polyacanthus,Neoglyphidodon polyacanthus,O,NA,NA,NA,NA,NA,NA,O,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,O
43,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Parma,oligolepis,Parma_oligolepis,Parma oligolepis,H,NA,NA,NA,NA,NA,NA,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H
44,Actinopterygii (ray-finned fishes),Perciformes,Ephippidae,Chaetodipterus,faber,Chaetodipterus_faber,Chaetodipterus faber,I,NA,I,NA,NA,NA,NA,P,NA,NA,O,I,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,O
45,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Plectroglyphidodon,flaviventris,Plectroglyphidodon_flaviventris,Plectroglyphidodon flaviventris,O,NA,NA,P,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,O
46,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Pomacentrus,albimaculus,Pomacentrus_albimaculus,Pomacentrus albimaculus,O,NA,NA,NA,NA,NA,NA,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H
47,Actinopterygii (ray-finned fishes),Ophidiiformes,Bythitidae,Dermatopsoides,talboti,Dermatopsoides_talboti,Dermatopsoides talboti,I,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I
48,Actinopterygii (ray-finned fishes),Syngnathiformes,Syngnathidae,Haliichthys,taeniophorus,Haliichthys_taeniophorus,Haliichthys taeniophorus,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I
49,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Pomacentrus,australis,Pomacentrus_australis,Pomacentrus australis,O,NA,NA,NA,NA,NA,NA,O,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H
50,Actinopterygii (ray-finned fishes),Scorpaeniformes,Platycephalidae,Rogadius,welanderi,Rogadius_welanderi,Rogadius welanderi,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,Actinopterygii (ray-finned fishes),Lophiiformes,Ogcocephalidae,Halieutaea,fitzsimonsi,Halieutaea_fitzsimonsi,Halieutaea fitzsimonsi,P,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,Actinopterygii (ray-finned fishes),Lophiiformes,Antennariidae,Antennarius,pictus,Antennarius_pictus,Antennarius pictus,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Pomacentrus,opisthostigma,Pomacentrus_opisthostigma,Pomacentrus opisthostigma,O,NA,NA,NA,NA,NA,NA,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,O
54,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Pomacentrus,smithi,Pomacentrus_smithi,Pomacentrus smithi,PK,NA,NA,NA,NA,NA,NA,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PK
55,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Pomacentrus,taeniometopon,Pomacentrus_taeniometopon,Pomacentrus taeniometopon,O,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,O
56,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Pomacentrus,wardi,Pomacentrus_wardi,Pomacentrus wardi,O,NA,H,H,NA,NA,NA,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H
57,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Pomacentrus,fuscidorsalis,Pomacentrus_fuscidorsalis,Pomachromis fuscidorsalis,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,Actinopterygii (ray-finned fishes),Aulopiformes,Pseudotrichonotidae,Velifer,hypselopterus,Velifer_hypselopterus,Velifer hypselopterus,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,Actinopterygii (ray-finned fishes),Perciformes,Chaetodontidae,Coradion,melanopus,Coradion_melanopus,Coradion melanopus,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I
60,Actinopterygii (ray-finned fishes),Scorpaeniformes,Scorpaenidae,Pterois,mombasae,Pterois_mombasae,Pterois mombasae,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,Actinopterygii (ray-finned fishes),Perciformes,Chaetodontidae,Amphichaetodon,melbae,Amphichaetodon_melbae,Amphichaetodon melbae,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I
62,Actinopterygii (ray-finned fishes),Perciformes,Apogonidae,Apogon,apogonides,Apogon_apogonides,Apogon apogonides,I,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,Actinopterygii (ray-finned fishes),Perciformes,Pinguipedidae,Parapercis,somaliensis,Parapercis_somaliensis,Parapercis somaliensis,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,Actinopterygii (ray-finned fishes),Perciformes,Scombridae,Grammatorcynus,bicarinatus,Grammatorcynus_bicarinatus,Grammatorcynus bicarinatus,P,NA,NA,NA,NA,NA,NA,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,Actinopterygii (ray-finned fishes),Tetraodontiformes,Diodontidae,Cyclichthys,spilostylus,Cyclichthys_spilostylus,Cyclichthys spilostylus,I,NA,NA,NA,I,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I
66,Actinopterygii (ray-finned fishes),Scorpaeniformes,Synanceiidae,Minous,pictus,Minous_pictus,Minous pictus,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,Actinopterygii (ray-finned fishes),Scorpaeniformes,Apistidae,Apistops,caloundra,Apistops_caloundra,Apistops caloundra,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,Actinopterygii (ray-finned fishes),Lophiiformes,Antennariidae,Lophiocharon,trisignatus,Lophiocharon_trisignatus,Lophiocharon trisignatus,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,Actinopterygii (ray-finned fishes),Lophiiformes,Ogcocephalidae,Halieutaea,stellata,Halieutaea_stellata,Halieutaea stellata,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,Actinopterygii (ray-finned fishes),Lophiiformes,Ogcocephalidae,Halieutaea,indica,Halieutaea_indica,Halieutaea indica,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,Actinopterygii (ray-finned fishes),Perciformes,Centrogenyidae,Centrogenys,vaigiensis,Centrogenys_vaigiensis,Centrogenys vaigiensis,I,NA,NA,NA,NA,NA,NA,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,Actinopterygii (ray-finned fishes),Perciformes,Apogonidae,Apogon,ceramensis,Apogon_ceramensis,Apogon ceramensis,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PK
73,Actinopterygii (ray-finned fishes),Perciformes,Apogonidae,Apogon,septemstriatus,Apogon_septemstriatus,Apogon septemstriatus,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,Actinopterygii (ray-finned fishes),Perciformes,Pempheridae,Pempheris,vanicolensis,Pempheris_vanicolensis,Pempheris vanicolensis,PK,NA,NA,NA,NA,NA,NA,I,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PK
75,Actinopterygii (ray-finned fishes),Perciformes,Chaetodontidae,Chaetodon,decussatus,Chaetodon_decussatus,Chaetodon decussatus,I,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,O
76,Actinopterygii (ray-finned fishes),Beloniformes,Exocoetidae,Parexocoetus,brachypterus,Parexocoetus_brachypterus,Parexocoetus brachypterus,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,Actinopterygii (ray-finned fishes),Scorpaeniformes,Tetrarogidae,Snyderina,yamanokami,Snyderina_yamanokami,Snyderina yamanokami,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,Actinopterygii (ray-finned fishes),Perciformes,Scombridae,Grammatorcynus,bilineatus,Grammatorcynus_bilineatus,Grammatorcynus bilineatus,P,NA,NA,NA,NA,NA,NA,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,Actinopterygii (ray-finned fishes),Anguilliformes,Ophichthidae,Ophichthus,urolophus,Ophichthus_urolophus,Ophichthus urolophus,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,Actinopterygii (ray-finned fishes),Clupeiformes,Clupeidae,Sardinella,aurita,Sardinella_aurita,Sardinella aurita,PK,NA,NA,NA,NA,NA,NA,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,Actinopterygii (ray-finned fishes),Perciformes,Serranidae,Plectranthias,sagamiensis,Plectranthias_sagamiensis,Plectranthias sagamiensis,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,Actinopterygii (ray-finned fishes),Perciformes,Mullidae,Parupeneus,chrysopleuron,Parupeneus_chrysopleuron,Parupeneus chrysopleuron,I,NA,I,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I
83,Actinopterygii (ray-finned fishes),Perciformes,Pomacanthidae,Chaetodontoplus,melanosoma,Chaetodontoplus_melanosoma,Chaetodontoplus melanosoma,I,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I
84,Actinopterygii (ray-finned fishes),Perciformes,Cirrhitidae,Cirrhitichthys,aureus,Cirrhitichthys_aureus,Cirrhitichthys aureus,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,Actinopterygii (ray-finned fishes),Perciformes,Gerreidae,Diapterus,rhombeus,Diapterus_rhombeus,Diapterus rhombeus,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,Actinopterygii (ray-finned fishes),Perciformes,Gerreidae,Eucinostomus,argenteus,Eucinostomus_argenteus,Eucinostomus argenteus,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,O,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,Actinopterygii (ray-finned fishes),Perciformes,Gerreidae,Eucinostomus,gula,Eucinostomus_gula,Eucinostomus gula,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
