ID,Class,Order,Family,Genus,Species,Genus_and_species_,Genus_and_species,rmouillot,rnickwio,rmorais,rbrandl,rhalpern,ryeager,rnewman,rrls,randraldi,rwyatt,rhonorio,rclark,rharvey,rilarri,rmendes,rparrish,rpastro,rrodriguez,ralvarez,rbertoncini,rjohnson,rkattan,rleal,rpaula,rpereira,rramos,rrosa,rwilliams,runsworth,rsiquiera
3178,Actinopterygii (ray-finned fishes),Perciformes,Callionymidae,Callionymus,pleurostictus,Callionymus_pleurostictus,Callionymus pleurostictus,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3179,Actinopterygii (ray-finned fishes),Perciformes,Serranidae,Pseudogramma,astigmum,Pseudogramma_astigmum,Pseudogramma astigmum,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3180,Actinopterygii (ray-finned fishes),Perciformes,Serranidae,Pseudogramma,xanthum,Pseudogramma_xanthum,Pseudogramma xanthum,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3181,Actinopterygii (ray-finned fishes),Perciformes,Serranidae,Pseudogramma,axelrodi,Pseudogramma_axelrodi,Pseudogramma axelrodi,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3182,Actinopterygii (ray-finned fishes),Perciformes,Serranidae,Pseudogramma,erythreum,Pseudogramma_erythreum,Pseudogramma erythreum,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3183,Actinopterygii (ray-finned fishes),Perciformes,Serranidae,Pseudogramma,guineensis,Pseudogramma_guineensis,Pseudogramma guineensis,I,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3184,Actinopterygii (ray-finned fishes),Perciformes,Serranidae,Pseudogramma,megamycterum,Pseudogramma_megamycterum,Pseudogramma megamycterum,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3185,Actinopterygii (ray-finned fishes),Perciformes,Serranidae,Pseudogramma,pectoralis,Pseudogramma_pectoralis,Pseudogramma pectoralis,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3186,Actinopterygii (ray-finned fishes),Perciformes,Serranidae,Suttonia,lineata,Suttonia_lineata,Suttonia lineata,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3187,Actinopterygii (ray-finned fishes),Perciformes,Serranidae,Suttonia,suttoni,Suttonia_suttoni,Suttonia suttoni,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
