ID,Class,Order,Family,Genus,Species,Genus_and_species,Gaspar,Nick_WIO,Morais,Brandl,Nick_Pacific,Halpern,Yeager,Newman,Rangel,Nagelkerken,RLS,rgaspar,rnickwio,rmorais,rbrandl,rhalpern,ryeager,rnewman,rrls
1,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Alectis,indicus,Alectis indicus,FC,NA,Fish-cephalopod feeder,NA,NA,NA,NA,NA,NA,NA,#REF!,P,NA,P,NA,NA,NA,NA,P
2,Actinopterygii (ray-finned fishes),Perciformes,Gobiidae,Wheelerigobius,maltzani,Wheelerigobius maltzani,IM,NA,NA,NA,NA,MINV,NA,NA,NA,NA,NA,I,NA,NA,NA,I,NA,NA,NA
3,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Oligoplites,saurus,Oligoplites saurus,FC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,NA,NA,NA,NA,NA,NA,NA
4,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Pseudocaranx,dentex,Pseudocaranx dentex,FC,NA,Fish-cephalopod feeder,NA,NA,DPLA,Generalist carnivore,NA,Pk,NA,NA,P,NA,P,NA,PK,I,NA,NA
5,Actinopterygii (ray-finned fishes),Perciformes,Eleotridae,Ophiocara,porocephala,Ophiocara porocephala,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
6,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Selene,vomer,Selene vomer,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
7,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Seriola,dumerili,Seriola dumerili,FC,NA,Fish-cephalopod feeder,NA,NA,PISC,Diurnal piscivore,NA,NA,NA,#REF!,P,NA,P,NA,P,P,NA,P
8,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Seriola,fasciata,Seriola fasciata,FC,NA,NA,NA,NA,PISC,NA,NA,NA,NA,NA,P,NA,NA,NA,P,NA,NA,NA
9,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Seriola,rivoliana,Seriola rivoliana,FC,NA,NA,NA,NA,PISC,NA,Top Predator,Ca,NA,#REF!,P,NA,NA,NA,P,NA,P,P
10,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Seriola,zonata,Seriola zonata,FC,NA,NA,NA,NA,PISC,NA,NA,NA,NA,NA,P,NA,NA,NA,P,NA,NA,NA
11,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Trachinotus,falcatus,Trachinotus falcatus,IM,NA,Mobile invertebrate feeder,NA,NA,MINV,NA,NA,NA,NA,NA,I,NA,I,NA,I,NA,NA,NA
12,Actinopterygii (ray-finned fishes),Perciformes,Cheilodactylidae,Nemadactylus,macropterus,Nemadactylus macropterus,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,I,NA,NA,NA,NA,NA,NA,I
13,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Trachinotus,goodei,Trachinotus goodei,IM,NA,NA,NA,NA,MINV,NA,NA,NA,NA,NA,I,NA,NA,NA,I,NA,NA,NA
14,Actinopterygii (ray-finned fishes),Anguilliformes,Muraenidae,Enchelycore,lichenosa,Enchelycore lichenosa,FC,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,P,NA,NA,NA,NA,NA,NA,P
15,Actinopterygii (ray-finned fishes),Anguilliformes,Muraenidae,Gymnothorax,chlamydatus,Gymnothorax chlamydatus,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
16,Actinopterygii (ray-finned fishes),Anguilliformes,Muraenidae,Gymnothorax,kidako,Gymnothorax kidako,FC,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,P,NA,NA,NA,NA,NA,NA,P
17,Actinopterygii (ray-finned fishes),Anguilliformes,Muraenidae,Gymnothorax,neglectus,Gymnothorax neglectus,FC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,NA,NA,NA,NA,NA,NA,NA
18,Actinopterygii (ray-finned fishes),Anguilliformes,Muraenidae,Gymnothorax,prasinus,Gymnothorax prasinus,FC,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,P,NA,NA,NA,NA,NA,NA,I
19,Actinopterygii (ray-finned fishes),Anguilliformes,Muraenidae,Gymnothorax,reevesii,Gymnothorax reevesii,FC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,NA,NA,NA,NA,NA,NA,NA
20,Actinopterygii (ray-finned fishes),Anguilliformes,Muraenidae,Gymnothorax,reticularis,Gymnothorax reticularis,FC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,NA,NA,NA,NA,NA,NA,NA
21,Actinopterygii (ray-finned fishes),Anguilliformes,Congridae,Conger,triporiceps,Conger triporiceps,FC,NA,NA,NA,NA,MCAR,NA,NA,NA,NA,NA,P,NA,NA,NA,P,NA,NA,NA
22,Actinopterygii (ray-finned fishes),Pleuronectiformes,Cynoglossidae,Symphurus,diomedeanus,Symphurus diomedeanus,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
23,Actinopterygii (ray-finned fishes),Scorpaeniformes,Scorpaenidae,Scorpaena,maderensis,Scorpaena maderensis,FC,NA,Fish-cephalopod feeder,NA,NA,MINV,NA,NA,NA,NA,#REF!,P,NA,P,NA,I,NA,NA,I
24,Actinopterygii (ray-finned fishes),Perciformes,Chaetodontidae,Chaetodon,robustus,Chaetodon robustus,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
25,Actinopterygii (ray-finned fishes),Perciformes,Haemulidae,Parapristipoma,humile,Parapristipoma humile,IM,NA,NA,NA,NA,MINV,NA,NA,NA,NA,NA,I,NA,NA,NA,I,NA,NA,NA
26,Actinopterygii (ray-finned fishes),Perciformes,Sciaenidae,Umbrina,steindachneri,Umbrina steindachneri,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
27,Actinopterygii (ray-finned fishes),Perciformes,Sphyraenidae,Sphyraena,viridensis,Sphyraena viridensis,FC,NA,Fish-cephalopod feeder,NA,NA,NA,NA,NA,NA,NA,#REF!,P,NA,P,NA,NA,NA,NA,P
28,Actinopterygii (ray-finned fishes),Tetraodontiformes,Diodontidae,Chilomycterus,reticulatus,Chilomycterus reticulatus,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,I,NA,NA,NA,NA,NA,NA,I
29,Actinopterygii (ray-finned fishes),Scorpaeniformes,Dactylopteridae,Dactylopterus,volitans,Dactylopterus volitans,IM,NA,NA,NA,NA,MINV,NA,NA,In,NA,NA,I,NA,NA,NA,I,NA,NA,NA
30,Actinopterygii (ray-finned fishes),Anguilliformes,Muraenidae,Pseudechidna,brummeri,Pseudechidna brummeri,FC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,NA,NA,NA,NA,NA,NA,NA
31,Actinopterygii (ray-finned fishes),Anguilliformes,Muraenidae,Uropterygius,micropterus,Uropterygius micropterus,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
32,Actinopterygii (ray-finned fishes),Tetraodontiformes,Diodontidae,Diodon,hystrix,Diodon hystrix,IM,NA,NA,NA,NA,SINV,Invertivore,Macro-Invertivore,In,BI,#REF!,I,NA,NA,NA,I,I,I,I
33,Actinopterygii (ray-finned fishes),Siluriformes,Ariidae,Netuma,thalassina,Netuma thalassina,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
34,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Neopomacentrus,anabatoides,Neopomacentrus anabatoides,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,PK,NA,NA,NA,NA,NA,NA,PK
35,Actinopterygii (ray-finned fishes),Syngnathiformes,Syngnathidae,Halicampus,macrorhynchus,Halicampus macrorhynchus,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
36,Actinopterygii (ray-finned fishes),Ophidiiformes,Carapidae,Encheliophis,vermicularis,Encheliophis vermicularis,OM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,O,NA,NA,NA,NA,NA,NA,NA
37,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Neopomacentrus,azysron,Neopomacentrus azysron,PK,NA,NA,Plankton,NA,NA,NA,NA,NA,NA,#REF!,PK,NA,NA,PK,NA,NA,NA,PK
38,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Neopomacentrus,metallicus,Neopomacentrus metallicus,PK,NA,NA,NA,NA,NA,Diurnal planktivore,NA,NA,NA,#REF!,PK,NA,NA,NA,NA,PK,NA,PK
39,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Neoglyphidodon,bonang,Neoglyphidodon bonang,OM,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,O,NA,NA,NA,NA,NA,NA,H
40,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Neoglyphidodon,carlsoni,Neoglyphidodon carlsoni,OM,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,O,NA,NA,NA,NA,NA,NA,H
41,Actinopterygii (ray-finned fishes),Scorpaeniformes,Tetrarogidae,Ablabys,taenianotus,Ablabys taenianotus,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
42,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Neoglyphidodon,polyacanthus,Neoglyphidodon polyacanthus,OM,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,O,NA,NA,NA,NA,NA,NA,O
43,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Parma,oligolepis,Parma oligolepis,HD,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,H,NA,NA,NA,NA,NA,NA,H
44,Actinopterygii (ray-finned fishes),Perciformes,Ephippidae,Chaetodipterus,faber,Chaetodipterus faber,IM,NA,Mobile invertebrate feeder,NA,NA,NA,NA,NA,Om,NA,#REF!,I,NA,I,NA,NA,NA,NA,P
45,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Plectroglyphidodon,flaviventris,Plectroglyphidodon flaviventris,OM,NA,NA,Piscivore,NA,NA,NA,NA,NA,NA,#REF!,O,NA,NA,P,NA,NA,NA,I
46,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Pomacentrus,albimaculus,Pomacentrus albimaculus,OM,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,O,NA,NA,NA,NA,NA,NA,H
47,Actinopterygii (ray-finned fishes),Ophidiiformes,Bythitidae,Dermatopsoides,talboti,Dermatopsoides talboti,IM,NA,NA,NA,NA,MINV,NA,NA,NA,NA,NA,I,NA,NA,NA,I,NA,NA,NA
48,Actinopterygii (ray-finned fishes),Syngnathiformes,Syngnathidae,Haliichthys,taeniophorus,Haliichthys taeniophorus,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
49,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Pomacentrus,australis,Pomacentrus australis,OM,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,O,NA,NA,NA,NA,NA,NA,O
50,Actinopterygii (ray-finned fishes),Scorpaeniformes,Platycephalidae,Rogadius,welanderi,Rogadius welanderi,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
51,Actinopterygii (ray-finned fishes),Lophiiformes,Ogcocephalidae,Halieutaea,fitzsimonsi,Halieutaea fitzsimonsi,FC,NA,NA,NA,NA,MINV,NA,NA,NA,NA,NA,P,NA,NA,NA,I,NA,NA,NA
52,Actinopterygii (ray-finned fishes),Lophiiformes,Antennariidae,Antennarius,pictus,Antennarius pictus,FC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,NA,NA,NA,NA,NA,NA,NA
53,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Pomacentrus,opisthostigma,Pomacentrus opisthostigma,OM,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,O,NA,NA,NA,NA,NA,NA,PK
54,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Pomacentrus,smithi,Pomacentrus smithi,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,PK,NA,NA,NA,NA,NA,NA,PK
55,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Pomacentrus,taeniometopon,Pomacentrus taeniometopon,OM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,O,NA,NA,NA,NA,NA,NA,NA
56,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Pomacentrus,wardi,Pomacentrus wardi,OM,NA,Herbivore-detritivore,TurfDetrit,NA,NA,NA,NA,NA,NA,#REF!,O,NA,H,H,NA,NA,NA,H
57,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Pomacentrus,fuscidorsalis,Pomachromis fuscidorsalis,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PK,NA,NA,NA,NA,NA,NA,NA
58,Actinopterygii (ray-finned fishes),Aulopiformes,Pseudotrichonotidae,Velifer,hypselopterus,Velifer hypselopterus,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
59,Actinopterygii (ray-finned fishes),Perciformes,Chaetodontidae,Coradion,melanopus,Coradion melanopus,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
60,Actinopterygii (ray-finned fishes),Scorpaeniformes,Scorpaenidae,Pterois,mombasae,Pterois mombasae,FC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,NA,NA,NA,NA,NA,NA,NA
61,Actinopterygii (ray-finned fishes),Perciformes,Chaetodontidae,Amphichaetodon,melbae,Amphichaetodon melbae,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
62,Actinopterygii (ray-finned fishes),Perciformes,Apogonidae,Apogon,apogonides,Apogon apogonides,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,I,NA,NA,NA,NA,NA,NA,I
63,Actinopterygii (ray-finned fishes),Perciformes,Pinguipedidae,Parapercis,somaliensis,Parapercis somaliensis,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
64,Actinopterygii (ray-finned fishes),Perciformes,Scombridae,Grammatorcynus,bicarinatus,Grammatorcynus bicarinatus,FC,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,P,NA,NA,NA,NA,NA,NA,P
65,Actinopterygii (ray-finned fishes),Tetraodontiformes,Diodontidae,Cyclichthys,spilostylus,Cyclichthys spilostylus,IM,NA,NA,NA,NA,SINV,NA,NA,NA,NA,#REF!,I,NA,NA,NA,I,NA,NA,I
66,Actinopterygii (ray-finned fishes),Scorpaeniformes,Synanceiidae,Minous,pictus,Minous pictus,FC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,NA,NA,NA,NA,NA,NA,NA
67,Actinopterygii (ray-finned fishes),Scorpaeniformes,Apistidae,Apistops,caloundra,Apistops caloundra,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
68,Actinopterygii (ray-finned fishes),Lophiiformes,Antennariidae,Lophiocharon,trisignatus,Lophiocharon trisignatus,FC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,NA,NA,NA,NA,NA,NA,NA
69,Actinopterygii (ray-finned fishes),Lophiiformes,Ogcocephalidae,Halieutaea,stellata,Halieutaea stellata,FC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,NA,NA,NA,NA,NA,NA,NA
70,Actinopterygii (ray-finned fishes),Lophiiformes,Ogcocephalidae,Halieutaea,indica,Halieutaea indica,FC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,NA,NA,NA,NA,NA,NA,NA
71,Actinopterygii (ray-finned fishes),Perciformes,Centrogenyidae,Centrogenys,vaigiensis,Centrogenys vaigiensis,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,I,NA,NA,NA,NA,NA,NA,P
72,Actinopterygii (ray-finned fishes),Perciformes,Apogonidae,Apogon,ceramensis,Apogon ceramensis,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PK,NA,NA,NA,NA,NA,NA,NA
73,Actinopterygii (ray-finned fishes),Perciformes,Apogonidae,Apogon,septemstriatus,Apogon septemstriatus,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PK,NA,NA,NA,NA,NA,NA,NA
74,Actinopterygii (ray-finned fishes),Perciformes,Pempheridae,Pempheris,vanicolensis,Pempheris vanicolensis,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,PK,NA,NA,NA,NA,NA,NA,I
75,Actinopterygii (ray-finned fishes),Perciformes,Chaetodontidae,Chaetodon,decussatus,Chaetodon decussatus,IS,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,I,NA,NA,NA,NA,NA,NA,I
76,Actinopterygii (ray-finned fishes),Beloniformes,Exocoetidae,Parexocoetus,brachypterus,Parexocoetus brachypterus,FC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,NA,NA,NA,NA,NA,NA,NA
77,Actinopterygii (ray-finned fishes),Scorpaeniformes,Tetrarogidae,Snyderina,yamanokami,Snyderina yamanokami,FC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,NA,NA,NA,NA,NA,NA,NA
78,Actinopterygii (ray-finned fishes),Perciformes,Scombridae,Grammatorcynus,bilineatus,Grammatorcynus bilineatus,FC,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,P,NA,NA,NA,NA,NA,NA,P
79,Actinopterygii (ray-finned fishes),Anguilliformes,Ophichthidae,Ophichthus,urolophus,Ophichthus urolophus,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
80,Actinopterygii (ray-finned fishes),Clupeiformes,Clupeidae,Sardinella,aurita,Sardinella aurita,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,PK,NA,NA,NA,NA,NA,NA,PK
81,Actinopterygii (ray-finned fishes),Perciformes,Serranidae,Plectranthias,sagamiensis,Plectranthias sagamiensis,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
82,Actinopterygii (ray-finned fishes),Perciformes,Mullidae,Parupeneus,chrysopleuron,Parupeneus chrysopleuron,IM,NA,Mobile invertebrate feeder,NA,NA,NA,NA,NA,NA,NA,#REF!,I,NA,I,NA,NA,NA,NA,I
83,Actinopterygii (ray-finned fishes),Perciformes,Pomacanthidae,Chaetodontoplus,melanosoma,Chaetodontoplus melanosoma,IS,NA,NA,InvSess,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,I,NA,NA,NA,NA
84,Actinopterygii (ray-finned fishes),Perciformes,Cirrhitidae,Cirrhitichthys,aureus,Cirrhitichthys aureus,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
85,Actinopterygii (ray-finned fishes),Perciformes,Gerreidae,Diapterus,rhombeus,Diapterus rhombeus,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
86,Actinopterygii (ray-finned fishes),Perciformes,Gerreidae,Eucinostomus,argenteus,Eucinostomus argenteus,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
87,Actinopterygii (ray-finned fishes),Perciformes,Gerreidae,Eucinostomus,gula,Eucinostomus gula,IM,NA,NA,NA,NA,NA,NA,NA,NA,BI,NA,I,NA,NA,NA,NA,NA,NA,NA
88,Actinopterygii (ray-finned fishes),Perciformes,Pinguipedidae,Parapercis,mimaseana,Parapercis mimaseana,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
89,Actinopterygii (ray-finned fishes),Perciformes,Gerreidae,Eucinostomus,melanopterus,Eucinostomus melanopterus,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
90,Actinopterygii (ray-finned fishes),Scorpaeniformes,Tetrarogidae,Cottapistus,cottoides,Cottapistus cottoides,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
91,Actinopterygii (ray-finned fishes),Scorpaeniformes,Synanceiidae,Inimicus,sinensis,Inimicus sinensis,FC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,NA,NA,NA,NA,NA,NA,NA
92,Actinopterygii (ray-finned fishes),Perciformes,Gerreidae,Gerres,cinereus,Gerres cinereus,IM,NA,NA,NA,NA,NA,NA,NA,NA,BI,#REF!,I,NA,NA,NA,NA,NA,NA,I
93,Actinopterygii (ray-finned fishes),Perciformes,Pseudochromidae,Pseudochromis,quinquedentatus,Pseudochromis quinquedentatus,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
94,Actinopterygii (ray-finned fishes),Perciformes,Apogonidae,Apogon,brevicaudata,Apogon brevicaudata,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PK,NA,NA,NA,NA,NA,NA,NA
95,Actinopterygii (ray-finned fishes),Perciformes,Ephippidae,Platax,batavianus,Platax batavianus,OM,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,O,NA,NA,NA,NA,NA,NA,I
96,Actinopterygii (ray-finned fishes),Perciformes,Labridae,Choerodon,zamboangae,Choerodon zamboangae,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
97,Actinopterygii (ray-finned fishes),Aulopiformes,Synodontidae,Saurida,undosquamis,Saurida undosquamis,FC,NA,NA,NA,NA,PISC,NA,NA,NA,NA,NA,P,NA,NA,NA,P,NA,NA,NA
98,Actinopterygii (ray-finned fishes),Tetraodontiformes,Monacanthidae,Pseudomonacanthus,peroni,Pseudomonacanthus peroni,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
99,Actinopterygii (ray-finned fishes),Perciformes,Serranidae,Rypticus,saponaceus,Rypticus saponaceus,IM,NA,NA,NA,NA,MCAR,NA,NA,Ca,NA,#REF!,I,NA,NA,NA,P,NA,NA,P
100,Actinopterygii (ray-finned fishes),Perciformes,Labridae,Leptojulis,cyanopleura,Leptojulis cyanopleura,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,PK,NA,NA,NA,NA,NA,NA,I
101,Actinopterygii (ray-finned fishes),Pleuronectiformes,Soleidae,Aseraggodes,cyaneus,Aseraggodes cyaneus,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
102,Actinopterygii (ray-finned fishes),Beloniformes,Hemiramphidae,Hemiramphus,brasiliensis,Hemiramphus brasiliensis,OM,NA,Omnivore,NA,NA,NA,NA,NA,NA,NA,NA,O,NA,O,NA,NA,NA,NA,NA
103,Actinopterygii (ray-finned fishes),Tetraodontiformes,Monacanthidae,Pseudomonacanthus,macrurus,Pseudomonacanthus macrurus,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
104,Actinopterygii (ray-finned fishes),Perciformes,Scombridae,Gymnosarda,unicolor,Gymnosarda unicolor,FC,NA,NA,NA,NA,NA,Diurnal piscivore,NA,NA,NA,#REF!,P,NA,NA,NA,NA,P,NA,P
105,Actinopterygii (ray-finned fishes),Beryciformes,Holocentridae,Holocentrus,adscensionis,Holocentrus adscensionis,IM,NA,Mobile invertebrate feeder,NA,NA,MINV,NA,NA,In,NA,#REF!,I,NA,I,NA,I,NA,NA,I
106,Actinopterygii (ray-finned fishes),Perciformes,Pinguipedidae,Parapercis,sexfasciata,Parapercis sexfasciata,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
107,Actinopterygii (ray-finned fishes),Perciformes,Labridae,Cirrhilabrus,filamentosus,Cirrhilabrus filamentosus,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PK,NA,NA,NA,NA,NA,NA,NA
108,Actinopterygii (ray-finned fishes),Beryciformes,Holocentridae,Holocentrus,rufus,Holocentrus rufus,IM,NA,Mobile invertebrate feeder,NA,NA,MINV,NA,NA,NA,NA,#REF!,I,NA,I,NA,I,NA,NA,I
109,Actinopterygii (ray-finned fishes),Perciformes,Apogonidae,Apogon,nigrocincta,Apogon nigrocincta,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PK,NA,NA,NA,NA,NA,NA,NA
110,Actinopterygii (ray-finned fishes),Beryciformes,Holocentridae,Myripristis,jacobus,Myripristis jacobus,PK,NA,NA,NA,NA,MINV,NA,Macro-Invertivore,In,NA,#REF!,PK,NA,NA,NA,I,NA,I,PK
111,Actinopterygii (ray-finned fishes),Perciformes,Serranidae,Pseudanthias,fasciatus,Pseudanthias fasciatus,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PK,NA,NA,NA,NA,NA,NA,NA
112,Actinopterygii (ray-finned fishes),Scorpaeniformes,Scorpaenidae,Neomerinthe,procurva,Neomerinthe procurva,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
113,Actinopterygii (ray-finned fishes),Scorpaeniformes,Scorpaenidae,Neomerinthe,megalepis,Neomerinthe megalepis,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
114,Actinopterygii (ray-finned fishes),Perciformes,Kyphosidae,Kyphosus,incisor,Kyphosus incisor,HM,NA,NA,NA,NA,MALG,NA,NA,NA,NA,#REF!,H,NA,NA,NA,H,NA,NA,H
115,Actinopterygii (ray-finned fishes),Perciformes,Labridae,Bodianus,pulchellus,Bodianus pulchellus,IM,NA,NA,NA,NA,MINV,NA,Macro-Invertivore,In,NA,NA,I,NA,NA,NA,I,NA,I,NA
116,Actinopterygii (ray-finned fishes),Aulopiformes,Pseudotrichonotidae,Metavelifer,multiradiatus,Metavelifer multiradiatus,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
117,Actinopterygii (ray-finned fishes),Perciformes,Labridae,Bodianus,rufus,Bodianus rufus,IM,NA,NA,NA,NA,MINV,NA,Macro-Invertivore,In,NA,#REF!,I,NA,NA,NA,I,NA,I,I
118,Actinopterygii (ray-finned fishes),Perciformes,Labridae,Halichoeres,radiatus,Halichoeres radiatus,IM,NA,Mobile invertebrate feeder,NA,NA,MINV,NA,Macro-Invertivore,NA,NA,#REF!,I,NA,I,NA,I,NA,I,I
119,Actinopterygii (ray-finned fishes),Perciformes,Clinidae,Clinus,spatulatus,Clinus spatulatus,IM,NA,NA,NA,NA,MINV,NA,NA,NA,NA,NA,I,NA,NA,NA,I,NA,NA,NA
