ID,Class,Order,Family,Genus,Species,Genus_and_species,Gaspar,Nick_WIO,Morais,Brandl,Nick_Pacific,Halpern,Yeager,Newman,Rangel,Nagelkerken,RLS,rgaspar,rnickwio,rmorais,rbrandl,rhalpern,ryeager,rnewman,rrls
2723,Actinopterygii (ray-finned fishes),Perciformes,Mullidae,Upeneus,moluccensis,Upeneus moluccensis,IM,NA,Mobile invertebrate feeder,NA,NA,NA,NA,NA,NA,NA,#REF!,I,NA,I,NA,NA,NA,NA,I
2724,Actinopterygii (ray-finned fishes),Perciformes,Haemulidae,Pomadasys,maculatus,Pomadasys maculatus,IM,NA,Mobile invertebrate feeder,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,I,NA,NA,NA,NA,NA
2725,Actinopterygii (ray-finned fishes),Perciformes,Sparidae,Pagrus,major,Pagrus major,IM,NA,Mobile invertebrate feeder,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,I,NA,NA,NA,NA,NA
2726,Actinopterygii (ray-finned fishes),Perciformes,Leiognathidae,Leiognathus,equulus,Leiognathus equulus,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PK,NA,NA,NA,NA,NA,NA,NA
2727,Actinopterygii (ray-finned fishes),Perciformes,Siganidae,Siganus,canaliculatus,Siganus canaliculatus,HD,NA,Herbivore-macroalgae feeder,Macroalgae,NA,NA,NA,NA,NA,NA,#REF!,H,NA,H,H,NA,NA,NA,H
2728,Actinopterygii (ray-finned fishes),Perciformes,Siganidae,Siganus,spinus,Siganus spinus,HD,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,H,NA,NA,NA,NA,NA,NA,H
2729,Actinopterygii (ray-finned fishes),Perciformes,Terapontidae,Terapon,jarbua,Terapon jarbua,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,I,NA,NA,NA,NA,NA,NA,I
2730,Actinopterygii (ray-finned fishes),Perciformes,Serranidae,Epinephelus,fuscoguttatus,Epinephelus fuscoguttatus,FC,NA,Fish-cephalopod feeder,Piscivore,NA,NA,NA,NA,NA,NA,#REF!,P,NA,P,P,NA,NA,NA,P
2731,Actinopterygii (ray-finned fishes),Perciformes,Serranidae,Epinephelus,tauvina,Epinephelus tauvina,FC,NA,Fish-cephalopod feeder,NA,NA,NA,Diurnal piscivore,NA,NA,NA,#REF!,P,NA,P,NA,NA,P,NA,P
2732,Actinopterygii (ray-finned fishes),Perciformes,Gerreidae,Gerres,filamentosus,Gerres filamentosus,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
