ID,Class,Order,Family,Genus,Species,Genus_and_species_,Genus_and_species,Gaspar,Mouillot,Nick_WIO,Morais,Brandl,Nick_Pacific,Halpern,Yeager,Newman,Rangel,Nagelkerken,RLS,Siquiera,Andradi-Brown,Wyatt,Honorio,Clark,Harvey,Ilarri,Mendes,Parrish,Pastro,Rodríguez-Zaragoza,Alvarez-Filip,Bertoncini,Chaves,Johnson,Kattan,Leal,Paula,Pereira,Ramos,Rosa,Williams,Unsworth
604,Actinopterygii (ray-finned fishes),Perciformes,Kyphosidae,Labracoglossa,nitida,Labracoglossa_nitida,Labracoglossa nitida,PK,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Planktivore,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
605,Actinopterygii (ray-finned fishes),Tetraodontiformes,Tetraodontidae,Canthigaster,ocellicincta,Canthigaster_ocellicincta,Canthigaster ocellicincta,OM,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
606,Actinopterygii (ray-finned fishes),Scorpaeniformes,Scorpaenidae,Scorpaena,cookii,Scorpaena_cookii,Scorpaena cookii,FC,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Benthic invertivore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
607,Actinopterygii (ray-finned fishes),Perciformes,Serranidae,Acanthistius,cinctus,Acanthistius_cinctus,Acanthistius cinctus,FC,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Higher carnivore,GC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
608,Actinopterygii (ray-finned fishes),Perciformes,Serranidae,Pseudanthias,pictilis,Pseudanthias_pictilis,Pseudanthias pictilis,PK,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Planktivore,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
609,Actinopterygii (ray-finned fishes),Perciformes,Blenniidae,Ecsenius,bathi,Ecsenius_bathi,Ecsenius bathi,OM,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Browsing herbivore,HD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
610,Actinopterygii (ray-finned fishes),Perciformes,Cirrhitidae,Cirrhitops,hubbardi,Cirrhitops_hubbardi,Cirrhitops hubbardi,IM,,NA,NA,NA,NA,NA,Diurnal piscivore,NA,NA,NA,Benthic invertivore,GC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
611,Actinopterygii (ray-finned fishes),Perciformes,Gobiidae,Amblyeleotris,aurora,Amblyeleotris_aurora,Amblyeleotris aurora,IM,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
612,Actinopterygii (ray-finned fishes),Perciformes,Gobiidae,Amblyeleotris,ogasawarensis,Amblyeleotris_ogasawarensis,Amblyeleotris ogasawarensis,IM,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
613,Actinopterygii (ray-finned fishes),Perciformes,Gobiidae,Amblyeleotris,sungami,Amblyeleotris_sungami,Amblyeleotris sungami,IM,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Browsing herbivore,MI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
614,Actinopterygii (ray-finned fishes),Perciformes,Apogonidae,Apogon,taeniatus,Apogon_taeniatus,Apogon taeniatus,PK,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
615,Actinopterygii (ray-finned fishes),Perciformes,Serranidae,Pseudanthias,ventralis ventralis,Pseudanthias_ventralis ventralis,Pseudanthias ventralis,PK,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
616,Actinopterygii (ray-finned fishes),Perciformes,Serranidae,Trachypoma,macracanthus,Trachypoma_macracanthus,Trachypoma macracanthus,FC,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Higher carnivore,GC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
617,Actinopterygii (ray-finned fishes),Perciformes,Cirrhitidae,Notocirrhitus,splendens,Notocirrhitus_splendens,Notocirrhitus splendens,FC,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Benthic invertivore,GC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
618,Actinopterygii (ray-finned fishes),Anguilliformes,Congridae,Gorgasia,preclara,Gorgasia_preclara,Gorgasia preclara,PK,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
619,Actinopterygii (ray-finned fishes),Anguilliformes,Congridae,Heteroconger,perissodon,Heteroconger_perissodon,Heteroconger perissodon,PK,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
620,Actinopterygii (ray-finned fishes),Perciformes,Kyphosidae,Girella,cyanea,Girella_cyanea,Girella cyanea,HM,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Browsing herbivore,HD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
621,Actinopterygii (ray-finned fishes),Perciformes,Scaridae,Scarus,hypselopterus,Scarus_hypselopterus,Scarus hypselopterus,OM,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Browsing herbivore,HD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
622,Actinopterygii (ray-finned fishes),Perciformes,Pseudochromidae,Manonichthys,splendens,Manonichthys_splendens,Manonichthys splendens,IM,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Benthic invertivore,MI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
623,Actinopterygii (ray-finned fishes),Perciformes,Serranidae,Pseudanthias,bartlettorum,Pseudanthias_bartlettorum,Pseudanthias bartlettorum,PK,,NA,NA,NA,NA,NA,Diurnal planktivore,NA,NA,NA,NA,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
624,Actinopterygii (ray-finned fishes),Perciformes,Labridae,Choerodon,fasciatus,Choerodon_fasciatus,Choerodon fasciatus,IM,,NA,NA,InvMobMac,NA,NA,NA,NA,NA,NA,Benthic invertivore,MI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
625,Actinopterygii (ray-finned fishes),Perciformes,Kyphosidae,Kyphosus,sydneyanus,Kyphosus_sydneyanus,Kyphosus sydneyanus,HM,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Browsing herbivore,HD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
