ID,Class,Order,Family,Genus,Species,Genus_and_species_,Genus_and_species,Gaspar,Mouillot,Nick_WIO,Morais,Brandl,Nick_Pacific,Halpern,Yeager,Newman,Rangel,Nagelkerken,RLS,Siquiera,Andradi-Brown,Wyatt,Honorio,Clark,Harvey,Ilarri,Mendes,Parrish,Pastro,Rodríguez-Zaragoza,Alvarez-Filip,Bertoncini,Chaves,Johnson,Kattan,Leal,Paula,Pereira,Ramos,Rosa,Williams,Unsworth
1,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Alectis,indicus,Alectis_indicus,Alectis indicus,FC,,NA,Fish-cephalopod feeder,NA,NA,NA,NA,NA,NA,NA,Higher carnivore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Actinopterygii (ray-finned fishes),Perciformes,Gobiidae,Wheelerigobius,maltzani,Wheelerigobius_maltzani,Wheelerigobius maltzani,IM,,NA,NA,NA,NA,MINV,NA,NA,NA,NA,NA,OM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Oligoplites,saurus,Oligoplites_saurus,Oligoplites saurus,FC,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Pseudocaranx,dentex,Pseudocaranx_dentex,Pseudocaranx dentex,FC,,NA,Fish-cephalopod feeder,NA,NA,DPLA,Generalist carnivore,NA,Pk,NA,NA,GC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Invertivore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Actinopterygii (ray-finned fishes),Perciformes,Eleotridae,Ophiocara,porocephala,Ophiocara_porocephala,Ophiocara porocephala,IM,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Selene,vomer,Selene_vomer,Selene vomer,IM,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GC,NA,NA,Generalist Carnivore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Seriola,dumerili,Seriola_dumerili,Seriola dumerili,FC,,NA,Fish-cephalopod feeder,NA,NA,PISC,Diurnal piscivore,NA,NA,NA,Higher carnivore,GC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Seriola,fasciata,Seriola_fasciata,Seriola fasciata,FC,,NA,NA,NA,NA,PISC,NA,NA,NA,NA,NA,GC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Seriola,rivoliana,Seriola_rivoliana,Seriola rivoliana,FC,,NA,NA,NA,NA,PISC,NA,Top Predator,Ca,NA,Higher carnivore,GC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carnivore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Seriola,zonata,Seriola_zonata,Seriola zonata,FC,,NA,NA,NA,NA,PISC,NA,NA,NA,NA,NA,GC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Trachinotus,falcatus,Trachinotus_falcatus,Trachinotus falcatus,IM,,NA,Mobile invertebrate feeder,NA,NA,MINV,NA,NA,NA,NA,NA,GC,NA,NA,Generalist Carnivore,Invertivore,NA,NA,NA,NA,NA,NA,Carnivore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Actinopterygii (ray-finned fishes),Perciformes,Cheilodactylidae,Nemadactylus,macropterus,Nemadactylus_macropterus,Nemadactylus macropterus,IM,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Benthic invertivore,MI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Trachinotus,goodei,Trachinotus_goodei,Trachinotus goodei,IM,,NA,NA,NA,NA,MINV,NA,NA,NA,NA,NA,GC,NA,NA,Generalist Carnivore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,Actinopterygii (ray-finned fishes),Anguilliformes,Muraenidae,Enchelycore,lichenosa,Enchelycore_lichenosa,Enchelycore lichenosa,FC,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Higher carnivore,GC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,Actinopterygii (ray-finned fishes),Anguilliformes,Muraenidae,Gymnothorax,chlamydatus,Gymnothorax_chlamydatus,Gymnothorax chlamydatus,IM,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,Actinopterygii (ray-finned fishes),Anguilliformes,Muraenidae,Gymnothorax,kidako,Gymnothorax_kidako,Gymnothorax kidako,FC,,NA,NA,NA,NA,NA,NA,NA,NA,NA,higher carnivore,GC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,Actinopterygii (ray-finned fishes),Anguilliformes,Muraenidae,Gymnothorax,neglectus,Gymnothorax_neglectus,Gymnothorax neglectus,FC,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,Actinopterygii (ray-finned fishes),Anguilliformes,Muraenidae,Gymnothorax,prasinus,Gymnothorax_prasinus,Gymnothorax prasinus,FC,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Benthic invertivore,GC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,Actinopterygii (ray-finned fishes),Anguilliformes,Muraenidae,Gymnothorax,reevesii,Gymnothorax_reevesii,Gymnothorax reevesii,FC,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Actinopterygii (ray-finned fishes),Anguilliformes,Muraenidae,Gymnothorax,reticularis,Gymnothorax_reticularis,Gymnothorax reticularis,FC,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,Actinopterygii (ray-finned fishes),Anguilliformes,Congridae,Conger,triporiceps,Conger_triporiceps,Conger triporiceps,FC,,NA,NA,NA,NA,MCAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,Actinopterygii (ray-finned fishes),Pleuronectiformes,Cynoglossidae,Symphurus,diomedeanus,Symphurus_diomedeanus,Symphurus diomedeanus,IM,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,Actinopterygii (ray-finned fishes),Scorpaeniformes,Scorpaenidae,Scorpaena,maderensis,Scorpaena_maderensis,Scorpaena maderensis,FC,,NA,Fish-cephalopod feeder,NA,NA,MINV,NA,NA,NA,NA,Benthic invertivore,GC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carnivore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,Actinopterygii (ray-finned fishes),Perciformes,Chaetodontidae,Chaetodon,robustus,Chaetodon_robustus,Chaetodon robustus,IM,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,Actinopterygii (ray-finned fishes),Perciformes,Haemulidae,Parapristipoma,humile,Parapristipoma_humile,Parapristipoma humile,IM,,NA,NA,NA,NA,MINV,NA,NA,NA,NA,NA,MI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,Actinopterygii (ray-finned fishes),Perciformes,Sciaenidae,Umbrina,steindachneri,Umbrina_steindachneri,Umbrina steindachneri,IM,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,Actinopterygii (ray-finned fishes),Perciformes,Sphyraenidae,Sphyraena,viridensis,Sphyraena_viridensis,Sphyraena viridensis,FC,,NA,Fish-cephalopod feeder,NA,NA,NA,NA,NA,NA,NA,Higher carnivore,GC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carnivore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,Actinopterygii (ray-finned fishes),Tetraodontiformes,Diodontidae,Chilomycterus,reticulatus,Chilomycterus_reticulatus,Chilomycterus reticulatus,IM,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Benthic invertivore,MI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,Actinopterygii (ray-finned fishes),Scorpaeniformes,Dactylopteridae,Dactylopterus,volitans,Dactylopterus_volitans,Dactylopterus volitans,IM,,NA,NA,NA,NA,MINV,NA,NA,In,NA,NA,GC,NA,NA,Generalist Carnivore,Invertivore,NA,NA,NA,NA,NA,NA,NA,NA,Invertivore,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,Actinopterygii (ray-finned fishes),Anguilliformes,Muraenidae,Pseudechidna,brummeri,Pseudechidna_brummeri,Pseudechidna brummeri,FC,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,Actinopterygii (ray-finned fishes),Anguilliformes,Muraenidae,Uropterygius,micropterus,Uropterygius_micropterus,Uropterygius micropterus,IM,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,Actinopterygii (ray-finned fishes),Tetraodontiformes,Diodontidae,Diodon,hystrix,Diodon_hystrix,Diodon hystrix,IM,,NA,NA,NA,NA,SINV,Invertivore,Macro-Invertivore,In,BI,Benthic invertivore,MI,NA,NA,Mobile Invertebrate Feeders,Invertivore,NA,NA,NA,NA,NA,NA,Invertivore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,Actinopterygii (ray-finned fishes),Siluriformes,Ariidae,Netuma,thalassina,Netuma_thalassina,Netuma thalassina,IM,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Neopomacentrus,anabatoides,Neopomacentrus_anabatoides,Neopomacentrus anabatoides,PK,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Planktivore,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,Actinopterygii (ray-finned fishes),Syngnathiformes,Syngnathidae,Halicampus,macrorhynchus,Halicampus_macrorhynchus,Halicampus macrorhynchus,IM,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,Actinopterygii (ray-finned fishes),Ophidiiformes,Carapidae,Encheliophis,vermicularis,Encheliophis_vermicularis,Encheliophis vermicularis,OM,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Neopomacentrus,azysron,Neopomacentrus_azysron,Neopomacentrus azysron,PK,,NA,NA,Plankton,NA,NA,NA,NA,NA,NA,Planktivore,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Neopomacentrus,metallicus,Neopomacentrus_metallicus,Neopomacentrus metallicus,PK,,NA,NA,NA,NA,NA,Diurnal planktivore,NA,NA,NA,Planktivore,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Neoglyphidodon,bonang,Neoglyphidodon_bonang,Neoglyphidodon bonang,OM,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Browsing herbivore,OM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Neoglyphidodon,carlsoni,Neoglyphidodon_carlsoni,Neoglyphidodon carlsoni,OM,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Browsing herbivore,OM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,Actinopterygii (ray-finned fishes),Scorpaeniformes,Tetrarogidae,Ablabys,taenianotus,Ablabys_taenianotus,Ablabys taenianotus,IM,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Invertivore/Piscivore
42,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Neoglyphidodon,polyacanthus,Neoglyphidodon_polyacanthus,Neoglyphidodon polyacanthus,OM,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Omnivore,OM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Parma,oligolepis,Parma_oligolepis,Parma oligolepis,HD,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Algal farmer,HD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,Actinopterygii (ray-finned fishes),Perciformes,Ephippidae,Chaetodipterus,faber,Chaetodipterus_faber,Chaetodipterus faber,IM,,NA,Mobile invertebrate feeder,NA,NA,NA,NA,NA,Om,NA,Higher carnivore,OM,NA,NA,Omnivore,Invertivore,NA,NA,NA,NA,NA,Invertivore,NA,NA,Invertivore,NA,NA,NA,NA,Invertivore,NA,NA,NA,NA
45,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Plectroglyphidodon,flaviventris,Plectroglyphidodon_flaviventris,Plectroglyphidodon flaviventris,OM,,NA,NA,Piscivore,NA,NA,NA,NA,NA,NA,Benthic invertivore,OM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Pomacentrus,albimaculus,Pomacentrus_albimaculus,Pomacentrus albimaculus,OM,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Browsing herbivore,HD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,Actinopterygii (ray-finned fishes),Ophidiiformes,Bythitidae,Dermatopsoides,talboti,Dermatopsoides_talboti,Dermatopsoides talboti,IM,,NA,NA,NA,NA,MINV,NA,NA,NA,NA,NA,MI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,Actinopterygii (ray-finned fishes),Syngnathiformes,Syngnathidae,Haliichthys,taeniophorus,Haliichthys_taeniophorus,Haliichthys taeniophorus,IM,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Pomacentrus,australis,Pomacentrus_australis,Pomacentrus australis,OM,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Omnivore,HD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,Actinopterygii (ray-finned fishes),Scorpaeniformes,Platycephalidae,Rogadius,welanderi,Rogadius_welanderi,Rogadius welanderi,IM,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,Actinopterygii (ray-finned fishes),Lophiiformes,Ogcocephalidae,Halieutaea,fitzsimonsi,Halieutaea_fitzsimonsi,Halieutaea fitzsimonsi,FC,,NA,NA,NA,NA,MINV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,Actinopterygii (ray-finned fishes),Lophiiformes,Antennariidae,Antennarius,pictus,Antennarius_pictus,Antennarius pictus,FC,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Pomacentrus,opisthostigma,Pomacentrus_opisthostigma,Pomacentrus opisthostigma,OM,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Planktivore,OM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Pomacentrus,smithi,Pomacentrus_smithi,Pomacentrus smithi,PK,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Planktivore,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Pomacentrus,taeniometopon,Pomacentrus_taeniometopon,Pomacentrus taeniometopon,OM,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Pomacentrus,wardi,Pomacentrus_wardi,Pomacentrus wardi,OM,,NA,Herbivore-detritivore,TurfDetrit,NA,NA,NA,NA,NA,NA,Algal farmer,HD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Pomacentrus,fuscidorsalis,Pomacentrus_fuscidorsalis,Pomachromis fuscidorsalis,PK,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,Actinopterygii (ray-finned fishes),Aulopiformes,Pseudotrichonotidae,Velifer,hypselopterus,Velifer_hypselopterus,Velifer hypselopterus,IM,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,Actinopterygii (ray-finned fishes),Perciformes,Chaetodontidae,Coradion,melanopus,Coradion_melanopus,Coradion melanopus,IM,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,Actinopterygii (ray-finned fishes),Scorpaeniformes,Scorpaenidae,Pterois,mombasae,Pterois_mombasae,Pterois mombasae,FC,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,Actinopterygii (ray-finned fishes),Perciformes,Chaetodontidae,Amphichaetodon,melbae,Amphichaetodon_melbae,Amphichaetodon melbae,IM,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,Actinopterygii (ray-finned fishes),Perciformes,Apogonidae,Apogon,apogonides,Apogon_apogonides,Apogon apogonides,IM,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Benthic invertivore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,Actinopterygii (ray-finned fishes),Perciformes,Pinguipedidae,Parapercis,somaliensis,Parapercis_somaliensis,Parapercis somaliensis,IM,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,Actinopterygii (ray-finned fishes),Perciformes,Scombridae,Grammatorcynus,bicarinatus,Grammatorcynus_bicarinatus,Grammatorcynus bicarinatus,FC,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Higher carnivore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,Actinopterygii (ray-finned fishes),Tetraodontiformes,Diodontidae,Cyclichthys,spilostylus,Cyclichthys_spilostylus,Cyclichthys spilostylus,IM,,NA,NA,NA,NA,SINV,NA,NA,NA,NA,Benthic invertivore,MI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,Actinopterygii (ray-finned fishes),Scorpaeniformes,Synanceiidae,Minous,pictus,Minous_pictus,Minous pictus,FC,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,Actinopterygii (ray-finned fishes),Scorpaeniformes,Apistidae,Apistops,caloundra,Apistops_caloundra,Apistops caloundra,IM,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,Actinopterygii (ray-finned fishes),Lophiiformes,Antennariidae,Lophiocharon,trisignatus,Lophiocharon_trisignatus,Lophiocharon trisignatus,FC,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,Actinopterygii (ray-finned fishes),Lophiiformes,Ogcocephalidae,Halieutaea,stellata,Halieutaea_stellata,Halieutaea stellata,FC,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,Actinopterygii (ray-finned fishes),Lophiiformes,Ogcocephalidae,Halieutaea,indica,Halieutaea_indica,Halieutaea indica,FC,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,Actinopterygii (ray-finned fishes),Perciformes,Centrogenyidae,Centrogenys,vaigiensis,Centrogenys_vaigiensis,Centrogenys vaigiensis,IM,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Higher carnivore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,Actinopterygii (ray-finned fishes),Perciformes,Apogonidae,Apogon,ceramensis,Apogon_ceramensis,Apogon ceramensis,PK,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,Actinopterygii (ray-finned fishes),Perciformes,Apogonidae,Apogon,septemstriatus,Apogon_septemstriatus,Apogon septemstriatus,PK,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,Actinopterygii (ray-finned fishes),Perciformes,Pempheridae,Pempheris,vanicolensis,Pempheris_vanicolensis,Pempheris vanicolensis,PK,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Benthic invertivore,PK,NA,Carnivores,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,Actinopterygii (ray-finned fishes),Perciformes,Chaetodontidae,Chaetodon,decussatus,Chaetodon_decussatus,Chaetodon decussatus,IS,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corallivore,OM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,Actinopterygii (ray-finned fishes),Beloniformes,Exocoetidae,Parexocoetus,brachypterus,Parexocoetus_brachypterus,Parexocoetus brachypterus,FC,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,Actinopterygii (ray-finned fishes),Scorpaeniformes,Tetrarogidae,Snyderina,yamanokami,Snyderina_yamanokami,Snyderina yamanokami,FC,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
